id,text,target,username
41,Maaş müşterisi olmam halinde halen daha ek hesap veya kredi kartı alamıyorum. Diğer bankalar kart verirken QNB Finansbank hiç umursamıyor. Başvuru yaptığım zaman beni şubelere yönlendiriyorlar. Daha önceden yaşamış olduğum bazı banka sıkıntıları yüzünden kart verilmediğini belirtiyorlar,Kredi İşlemleri,Cihan 
42,Kredisini kullandığım banka kartında krediyi kapatıp hesabı hesap kesiminden önce 0 a 0 yapmama rağmen görünmeyen faiz alınıyor pek kullanmadığım hesap zaten bakmasan eksiye düşürüp boşu boşuna hem paramı hem de kredi notumu düşürecekler. Güzel düzen,Kredi İşlemleri,asdasdsad
43,Selamlar. Papara 2127000735 numaralı Papara hesabım vardı. Sonrasında ben bu hesabı bloke ettirdim. Aradan uzun zaman geçtikten sonra yeni bir Papara hesabı açtım ve 2045138908 numaralı Papara hesabımı onaylamaya çalıştığımda kimlik bilgilerim diğerinde kayıtlı olduğu için onaylayamadım. İstemsiz bi...,Bankacılık İşlemleri,elif
44,"İş Bankası'nda kur korumalı mevduat hesabı açmıştım. Vade dolunca sadece faiz ödemesi yapılıp, kur farkından olan ödeme tarafıma yapılmamıştır. Banka ile yapmış olduğum görüşme ile kayıt oluşturulmasına rağmen 1 haftadır sorunum çözülmemiştir. Bu bağlamda Bankadan şikayetim var.",Bankacılık İşlemleri,elif
45,Denizbank tan almış olduğum kartımı Kuryenet 2 aydır bana ulaştıramadı. Dağıtıma çıktı adreste bulamadık bizde değildir. Gibi bahaneler ile otomatik cevap veren bir sistem karşımızda muhatap olacak kimse yok banka ile iletişime geçtim kurye nette olduğunu söyledi fakat Kuryenet firmasında muhatap ol...,Müşteri Temsilcisi,elif
46,Vivense'den ürün sipariş ettim üye olmadan devam ettim sipariş için ücreti öderken hata aldım. Banka hareketlerine bakınca parayı kesmiş ama siparişi vermemiş. Müşteri hizmetlerini aradım telesekreter sürekli farklı bir yere yönlendiriyor muhatap bulamıyorum.,Bankacılık İşlemleri,svdfvdgfb
47,Dün gece binbin kullandım ve olması gerektiği gibi park ettim. Sonrasında sürüşü bitir seçeneğine bastım ve sürüşü bitirdim. Herhangi bir uyarı vermedi ve yeni sürüşe başlama ekranı çıktı. Ve cihazın ışıkları kilitlenince yandığı şekilde yanıyordu. 25₺ cezai işlem uygulanmış. Sorunun derhal çözülmes...,Müşteri Temsilcisi,svdfvdgfb
48,26 Eylül'de promosyon alabilmek için İstanbul Kartal Çınar Caddesi'indeki �ş Bankası'na başvuruda bulundum 28 Ekim'de maaşımın ve promosyonumu yatacağını belirttiler. Bunun üzerine 1 Kasım'da paramı çekmek için gittiğimde maaş geçişimin olduğunu ama promosyon ücreti alabilmek için başvuru yapılırken...,Bankacılık İşlemleri,svdfvdgfb
49,"Ben VakıfBank ATM'sinden Tosla kartıma 60 TL para yatıracaktım.
Banka kartımı yuttu ve bankanın müşteri hizmetlerini aradım. Yaklaşık 2 saat boyunca Tosla ve VakıfBank'ın müşteri hizmetleriyle konuştum. Tosla müşteri hizmetleri VakıfBank adına işlem başlattı. Bankada İşleminiz devam etmekte yazısı g...",Kredi İşlemleri,svdfvdgfb
50,İş Bankası altıyol şubesini arıyorum ulaşamıyorum mesaj atıyorum ulaşamıyorum beni arayın diyorum arayan yok bireysel bankacılıkla görüşme yapacağım görüşemiyorum bir çok kez aradım şikayet etmek istemezdim başka yol bırakmadılar müşteri seçiyorlar sanırım,Kart İşlemleri,svdfvdgfb
54,İş Bankası Kartal sanayi şubesine hesap açmak için gittim. Sıra numaram gelince müşteri temsilcisine gittim e** e** isimli personel telefon ile başka bir müşteri için kredi başvurusu ile ilgileniyordu. Onu bekledim saçma bir şekilde devam etti anlayamadım. Neden benim sıram gelmiş numaram yanmış ve ...,Bankacılık İşlemleri,elif
55,İş Bankası'nın kaç yıllık eski çalışanıydım ve üniversiteden itibaren de müşterisiydim. İstifa ettikten 2 ay sonra kartıma hemen kredi kartı aidatı yansıtıldı. İade istedim etmediler. Müşteri temsilcisine durumu anlattım ama yapabileceği bir şey yokmuş. Yıllardır aktif kullandığım kartımı iptal etti...,Kredi İşlemleri,elif
56,"İş bankasına ait kullandığımız pos cihazı arızasından dolayı hiç kullanmadığımız sabit telefon için Ağustos ayında 689,75 TL Eylül ayında ise 11.539,25 TL ve Ekim ayında 547,00 TL toplamda 12.776,00TL faturaya sebebiyet verdi. Türk Telekom müdürlüğünden aldığımız bilgi; pos cihazı sürekli arama yapa...",Kart İşlemleri,elif
57,Garanti Bankası'ndan Papara hesabıma 1000 TL gönderdim 3 gün oldu Papara hesabıma halen daha geçmedi dekont gönderdim dönüş yok müşteri hizmetlerine bağlanmaya çalışıyorum sürekli bekletiyorlar kaç gündür rehin aldılar paramı ne mesaj atıyorlar ne de dönüş sağlıyorlar,Bankacılık İşlemleri,elif
58,Halkbank SMS güvenlik kontrolü nedeni ile şubeye başvurun diyor müşteri hizmetlerine bağlanılmıyor halk banka ait kartım yok ATM'den işlem yapamıyorum mobilden veya PC üzerinden herhangi bir SMS alma işlemi yapmama izin vermiyor müşteri hizmetleri ne ulaşamıyorum,Kredi İşlemleri,elif
59,İş Bankası uygulamasını kullanırken mobil bankacılıktan çıkıp anında bankacılık talimatının bulunmamaktadır lütfen şubemize başvurunuz uyarısı alıyorum. Şifreyi yanlış girmedim herhangi bir şey yapmadım neden böyle oldu bilmiyorum konuyla ilgili şubeyi aradım buraya gelmeniz lazım sorun nedir bilmiy...,Bankacılık İşlemleri,elif
60,"İş Bankası Maximum kart ile size özel 250 TL MaxiPuan adı altında 12000 liralık alışveriş yapın kazanın diye mesaj geldi. Belirtilen gün aralığında 16000 liralık alışveriş yaptım. Maxipuanı yatırmıyorlar. Aradım
 kampanya detaylarında sektör bilgisi vermemesine rağmen belirtilen sektör alışverişleri...",Kredi İşlemleri,elif
61,"VakıfBank mobil bankacılıktan Cepte Kazan işlemi ile ilgili 31.10.2022 günü Beyaz Eşya, Mobilya, Elektronik ve Yapı alışverişinizde her 2000 TL alışverişinize 100 TL, toplamda 200 TL worldpuan hediye kampanyasına katıldım. Aynı gün yani 31.10.2022 günü Media Markt isimli firmadan internet üzerinden ...",Bankacılık İşlemleri,elif
62,07.10.2022 de yürürlüğe giren kanun ile madde tarihli ve 5411 sayılı kanunun 1. Maddesi uyarınca karşılıksız çek ve protestolu senetler ile kredi ve kredi kartları borçlarına ilişkin kayıtların dikkate alınmaması hakkında kanuna aşağıdaki geçici madde ilave edilmiştir. “geçici madde 3 - (1) anapara ...,Kredi İşlemleri,elif
63,İş cephe son zamanlarda giriş yapamıyorum hata verip bağlantınızı kontrol edin diyor ama diğer banka hesaplarıma giriş yapabiliyorum bu konuda çok mağdur oldum ne havale ne EFT yapabildim anlayacağınız içerideki paramı kullanamıyorum lütfen acil çözüm bulunsun,Kredi İşlemleri,elif
64,QNB maaş hesabıma mobil giriş yapamıyorum. Buna da gerekçe olarak geçmişte Enpara'da olan bir hesabıma bloke yapılmasından dolayı QNB de de bu engellemenin yapıldığı söyleniyor. Maaş hesabı olduğu için mecburen bu banka ile çalışmam gerekiyor. Sürekli maaş çekmek için şubeye gitmem gerektiğinden sor...,Müşteri Temsilcisi,elif
66,"Pep hizmet almadığım halde kredi kartımdan para çekildi. Pep hizmet almadığım halde kredi kartımdan iki defa para çekildi. 01.11.2022 tarihinde trafik sigortası için Türkiye Koç sigorta şirketinde sevil tarafından 0850 557 11 69 numaralı çağrı merkezinden arandım, 3698 TL bedel ile anlaştık, kredi k...",Kart İşlemleri,elif
67,"2020 yılda Migros'tan telefon almak için ING Bank'tan kredi çektim kredinin her taksitini ödedim. Ödemelerimi bitirdim, fakat 35 kuruş borç kalmış. Bunun için beni KKB'ye kadar götürmüşler ve bu olanlardan benim bugün haberim oldu. 35 kuruş için ne beni arayan var ne de başka bir şey. Bir insanın KK...",Kredi İşlemleri,umit
